Winner;Film
1;Bernhard Grzimek, Producer
1;Bert Haanstra, Producer
1;Ralph E. Winters, John D. Dunning
1;France
1;Miklos Rozsa
1;Andre Previn, Ken Darby
1;"Music by James Van Heusen; Lyrics by Sammy Cahn"
1;Sam Zimbalist, Producer
1;John Hubley, Producer
1;Jacques-Yves Cousteau, Producer
1;Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director
1;"Visual Effects by A. Arnold Gillespie, Robert MacDonald; Audible Effects by Milo Lory"
1;Neil Paterson
1;"Story by Russell Rouse, Clarence Greene; Screenplay by Stanley Shapiro, Maurice Richlin"
1;Elmer Gantry
1;Spartacus
1;Butterfield 8
1;Elmer Gantry
1;"Art Direction: Alexander Trauner; Set Decoration: Edward G. Boyle"
1;"Art Direction: Alexander Golitzen, Eric Orbom; Set Decoration: Russell A. Gausman, Julia Heron"
1;Freddie Francis
1;Russell Metty
1;Edith Head, Edward Stevenson
1;Valles, Bill Thomas
1;Billy Wilder
1;Larry Lansburgh, Producer
1;James Hill, Producer
1;Daniel Mandell
1;Sweden
1;Ernest Gold
1;Morris Stoloff, Harry Sukman
1;Music and Lyrics by Manos Hadjidakis
1;Billy Wilder, Producer
1;William L. Snyder, Producer
1;Ezra R. Baker, Producer
1;"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director"
1;Visual Effects by Gene Warren, Tim Baar
1;Richard Brooks
1;Billy Wilder, I. A. L. Diamond
1;Pollyanna
1;Judgment at Nuremberg
1;West Side Story
1;Two Women
1;West Side Story
1;"Art Direction: Harry Horner; Set Decoration: Gene Callahan"
1;"Art Direction: Boris Leven; Set Decoration: Victor A. Gangelin"
1;Eugen Shuftan
1;Daniel L. Fapp
1;Piero Gherardi
1;Irene Sharaff
1;Robert Wise, Jerome Robbins
1;Arthur Cohn and Rene Lafuite, Producers
1;Frank P. Bibas, Producer
1;Thomas Stanford
1;Sweden
1;Henry Mancini
1;Saul Chaplin, Johnny Green, Sid Ramin, Irwin Kostal
1;"Music by Henry Mancini; Lyrics by Johnny Mercer"
1;Robert Wise, Producer
1;Zagreb Film
1;Templar Film Studios
1;"Todd-AO Sound Department, Fred Hynes, Sound Director; and Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director"
1;"Visual Effects by Bill Warrington; Audible Effects by Vivian C. Greenham"
1;Abby Mann
1;William Inge
1;A Force in Readiness
1;To Kill a Mockingbird
1;Sweet Bird of Youth
1;The Miracle Worker
1;The Miracle Worker
1;"Art Direction: Alexander Golitzen, Henry Bumstead; Set Decoration: Oliver Emert"
1;"Art Direction: John Box, John Stoll; Set Decoration: Dario Simoni"
1;Jean Bourgoin, Walter Wottitz, (Henri Persin)
1;Fred A. Young
1;Norma Koch
1;Mary Wills
1;David Lean
1;Louis Clyde Stoumen, Producer
1;Jack Howells, Producer
1;Anne Coates
1;France
1;Maurice Jarre
1;Ray Heindorf
1;"Music by Henry Mancini; Lyrics by Johnny Mercer"
1;Sam Spiegel, Producer
1;John Hubley and Faith Hubley, Producers
1;Pierre Etaix and J.C. Carrière, Producers
1;Shepperton Studio Sound Department, John Cox, Sound Director
1;"Visual Effects by Robert MacDonald; Audible Effects by Jacques Maumont"
1;Horton Foote
1;Ennio de Concini, Alfredo Giannetti, Pietro Germi
1;Lilies of the Field
1;Hud
1;Hud
1;The V.I.P.s
1;Gene Callahan
1;"Art Direction: John DeCuir, Jack Martin Smith, Hilyard Brown, Herman Blumenthal, Elven Webb, Maurice Pelling, Boris Juraga; Set Decoration: Walter M. Scott, Paul S. Fox, Ray Moyer"
1;James Wong Howe
1;Leon Shamroy
1;Piero Gherardi
1;Irene Sharaff, Vittorio Nino Novarese, Renie
1;Tony Richardson
1;Robert Hughes, Producer
1;Simon Schiffrin, Producer
1;Harold F. Kress
1;Italy
1;John Addison
1;Andre Previn
1;"Music by James Van Heusen; Lyrics by Sammy Cahn"
1;Tony Richardson, Producer
1;Ernest Pintoff, Producer
1;Paul de Roubaix and Marcel Ichac, Producers
1;Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director
1;Walter G. Elliott
1;Emil Kosa, Jr.
1;John Osborne
1;James R. Webb
1;My Fair Lady
1;Topkapi
1;Mary Poppins
1;Zorba the Greek
1;Vassilis Fotopoulos
1;"Art Direction: Gene Allen, Cecil Beaton; Set Decoration: George James Hopkins"
1;Walter Lassally
1;Harry Stradling
1;Dorothy Jeakins
1;Cecil Beaton
1;George Cukor
1;Jacques-Yves Cousteau, Producer
1;Charles Guggenheim, Producer
1;Cotton Warburton
1;Italy
1;Richard M. Sherman, Robert B. Sherman
1;Andre Previn
1;Music and Lyrics by Richard M. Sherman and Robert B. Sherman
1;Jack L. Warner, Producer
1;David H. DePatie and Friz Freleng, Producers
1;Edward Schreiber, Producer
1;Warner Brothers Studio Sound Department, George R. Groves, Sound Director
1;Norman Wanstall
1;Peter Ellenshaw, Eustace Lycett, Hamilton Luske
1;Edward Anhalt
1;"Story by S. H. Barnett; Screenplay by Peter Stone, Frank Tarloff"
1;7 Faces of Dr. Lao
1;Cat Ballou
1;A Thousand Clowns
1;Darling
1;A Patch of Blue
1;"Art Direction: Robert Clatworthy; Set Decoration: Joseph Kish"
1;"Art Direction: John Box, Terry Marsh; Set Decoration: Dario Simoni"
1;Ernest Laszlo
1;Freddie Young
1;Julie Harris
1;Phyllis Dalton
1;Robert Wise
1;Sidney Glazier, Producer
1;Francis Thompson, Producer
1;William Reynolds
1;Czechoslovakia
1;Maurice Jarre
1;Irwin Kostal
1;"Music by Johnny Mandel; Lyrics by Paul Francis Webster"
1;Robert Wise, Producer
1;Chuck Jones and Les Goldman, Producers
1;Claude Berri, Producer
1;"20th Century-Fox Studio Sound Department, James P. Corcoran, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director"
1;Tregoweth Brown
1;John Stears
1;Robert Bolt
1;Frederic Raphael
1;A Man for All Seasons
1;The Fortune Cookie
1;Who's Afraid of Virginia Woolf?
1;Who's Afraid of Virginia Woolf?
1;"Art Direction: Richard Sylbert; Set Decoration: George James Hopkins"
1;"Art Direction: Jack Martin Smith, Dale Hennesy; Set Decoration: Walter M. Scott, Stuart A. Reiss"
1;Haskell Wexler
1;Ted Moore
1;Irene Sharaff
1;Elizabeth Haffenden, Joan Bridge
1;Fred Zinnemann
1;Peter Watkins, Producer
1;Edmond A. Levy, Producer
1;Fredric Steinkamp, Henry Berman, Stewart Linder, Frank Santillo
1;France
1;John Barry
1;Ken Thorne
1;"Music by John Barry; Lyrics by Don Black"
1;Fred Zinnemann, Producer
1;John Hubley and Faith Hubley, Producers
1;Edgar Anstey, Producer
1;Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director
1;Gordon Daniel
1;Art Cruickshank
1;Robert Bolt
1;"Story by Claude Lelouch; Screenplay by Claude Lelouch, Pierre Uytterhoeven"
1;In the Heat of the Night
1;Cool Hand Luke
1;Guess Who's Coming to Dinner
1;Bonnie and Clyde
1;"Art Direction: John Truscott, Edward Carrere; Set Decoration: John W. Brown"
1;Burnett Guffey
1;John Truscott
1;Mike Nichols
1;Pierre Schoendoerffer, Producer
1;Mark Harris and Trevor Greenwood, Producers
1;Hal Ashby
1;Czechoslovakia
1;Elmer Bernstein
1;Alfred Newman, Ken Darby
1;Music and Lyrics by Leslie Bricusse
1;Walter Mirisch, Producer
1;Fred Wolf, Producer
1;Christopher Chapman, Producer
1;Samuel Goldwyn Studio Sound Department
1;John Poyner
1;L. B. Abbott
1;Stirling Silliphant
1;William Rose
1;Charly
1;The Subject Was Roses
1;The Lion in Winter
1;Funny Girl
1;Rosemary's Baby
1;"Art Direction: John Box, Terence Marsh; Set Decoration: Vernon Dixon, Ken Muggleston"
1;Pasqualino De Santis
1;Danilo Donati
1;Carol Reed
1;Bill McGaw, Producer
1;Saul Bass, Producer
1;Frank P. Keller
1;Union of Soviet Socialist Republics
1;John Barry
1;Adaptation score by John Green
1;"Music by Michel Legrand; Lyrics by Alan Bergman and Marilyn Bergman"
1;John Woolf, Producer
1;Walt Disney, Producer
1;Charles Guggenheim, Producer
1;Shepperton Studio Sound Department
1;Stanley Kubrick
1;James Goldman
1;Mel Brooks
1;Planet of the Apes
1;Oliver!
1;True Grit
1;They Shoot Horses, Don't They?
1;The Prime of Miss Jean Brodie
1;Cactus Flower
1;"Art Direction: John DeCuir, Jack Martin Smith, Herman Blumenthal; Set Decoration: Walter M. Scott, George Hopkins, Raphael Bretton"
1;Conrad Hall
1;Margaret Furse
1;John Schlesinger
1;Bernard Chevry, Producer
1;Denis Sanders and Robert M. Fresco, Producers
1;Françoise Bonnot
1;Algeria
1;Burt Bacharach
1;Adaptation score by Lennie Hayton and Lionel Newman
1;"Music by Burt Bacharach; Lyrics by Hal David"
1;Jerome Hellman, Producer
1;Ward Kimball, Producer
1;Joan Keller Stern, Producer
1;Jack Solomon, Murray Spivack
1;Robbie Robertson
1;Waldo Salt
1;William Goldman
1;Patton
1;Ryan's Daughter
1;Women in Love
1;Airport
1;MA*S*H
1;"Art Direction: Urie McCleary, Gil Parrondo; Set Decoration: Antonio Mateos, Pierre-Louis Thevenet"
1;Freddie Young
1;Nino Novarese
1;Robert Altman
1;Franklin J. Schaffner
1;Bob Maurice, Producer
1;Joseph Strick, Producer
1;Danford B. Greene
1;Hugh S. Fowler
1;Italy
1;Francis Lai
1;Music and lyrics by The Beatles
1;"Music by Fred Karlin; Lyrics by Robb Royer (aka Robb Wilson) and James Griffin (aka Arthur James)"
1;Ingo Preminger, Producer
1;Frank McCarthy, Producer
1;Nick Bosustow, Producer
1;John Longenecker, Producer
1;Douglas Williams, Don Bassman
1;A. D. Flowers, L. B. Abbott
1;Ring Lardner, Jr.
1;Francis Ford Coppola, Edmund H. North
1;The French Connection
1;The Last Picture Show
1;Klute
1;The Last Picture Show
1;"Art Direction: John Box, Ernest Archer, Jack Maxsted, Gil Parrondo; Set Decoration: Vernon Dixon"
1;Oswald Morris
1;Yvonne Blake, Antonio Castillo
1;William Friedkin
1;Walon Green, Producer
1;Manuel Arango and Robert Amram, Producers
1;Jerry Greenberg
1;Italy
1;Michel Legrand
1;Adaptation Score by John Williams
1;Music and Lyrics by Isaac Hayes
1;Philip D'Antoni, Producer
1;Ted Petok, Producer
1;Manuel Arango and Robert Amram, Producers
1;Gordon K. McCallum, David Hildyard
1;Alan Maley, Eustace Lycett, Danny Lee
1;Ernest Tidyman
1;Paddy Chayefsky
1;The Godfather
1;Cabaret
1;Cabaret
1;Butterflies Are Free
1;"Art Direction: Rolf Zehetbauer, Jurgen Kiebach; Set Decoration: Herbert Strabel"
1;Geoffrey Unsworth
1;Anthony Powell
1;Bob Fosse
1;Howard Smith and Sarah Kernochan, Producers
1;Charles Huguenot van der Linden and Martina Huguenot van der Linden, Producers
1;David Bretherton
1;France
1;Charles Chaplin, Raymond Rasch, Larry Russell
1;Adaptation Score by Ralph Burns
1;Music and Lyrics by Al Kasha and Joel Hirschhorn
1;Albert S. Ruddy, Producer
1;Richard Williams, Producer
1;Richard Barclay, Producer
1;Robert Knudson, David Hildyard
1;Mario Puzo, Francis Ford Coppola
1;Jeremy Larner
1;L. B. Abbott, A. D. Flowers
1;Save the Tiger
1;The Paper Chase
1;A Touch of Class
1;Paper Moon
1;"Art Direction: Henry Bumstead; Set Decoration: James Payne"
1;Sven Nykvist
1;Edith Head
1;George Roy Hill
1;Kieth Merrill, Producer
1;Julian Krainin and DeWitt L. Sage, Jr., Producers
1;William Reynolds
1;France
1;Marvin Hamlisch
1;Adaptation Score by Marvin Hamlisch
1;"Music by Marvin Hamlisch; Lyrics by Alan Bergman and Marilyn Bergman"
1;Tony Bill, Michael Phillips and Julia Phillips, Producers
1;Frank Mouris, Producer
1;Allan Miller and William Fertik, Producers
1;Robert Knudson, Chris Newman
1;William Peter Blatty
1;David S. Ward
1;Harry and Tonto
1;The Godfather Part II
1;Alice Doesn't Live Here Anymore
1;Murder on the Orient Express
1;"Art Direction: Dean Tavoularis, Angelo Graham; Set Decoration: George R. Nelson"
1;Fred Koenekamp, Joseph Biroc
1;Theoni V. Aldredge
1;Francis Ford Coppola
1;Peter Davis and Bert Schneider, Producers
1;Robin Lehman, Producer
1;Harold F. Kress, Carl Kress
1;Italy
1;Nino Rota, Carmine Coppola
1;Adaptation Score by Nelson Riddle
1;Music and Lyrics by Al Kasha and Joel Hirschhorn
1;"Francis Ford Coppola, Producer; Gray Frederickson and Fred Roos, Co-Producers"
1;Will Vinton and Bob Gardiner, Producers
1;Paul Claudon and Edmond Sechan, Producers
1;Ronald Pierce, Melvin Metcalfe, Sr.
1;Robert Towne
1;Francis Ford Coppola, Mario Puzo
1;Frank Brendel, Glen Robinson, Albert Whitlock
1;One Flew over the Cuckoo's Nest
1;The Sunshine Boys
1;One Flew over the Cuckoo's Nest
1;Shampoo
1;"Art Direction: Ken Adam, Roy Walker; Set Decoration: Vernon Dixon"
1;John Alcott
1;Ulla-Britt Soderlund, Milena Canonero
1;Milos Forman
1;F. R. Crawley, James Hager and Dale Hartleben, Producers
1;Claire Wilbur and Robin Lehman, Producers
1;Verna Fields
1;Union of Soviet Socialist Republics
1;John Williams
1;Adaptation Score by Leonard Rosenman
1;Music and Lyrics by Keith Carradine
1;Saul Zaentz and Michael Douglas, Producers
1;Bob Godfrey, Producer
1;Bert Salzman, Producer
1;Robert L. Hoyt, Roger Heman, Earl Madery, John Carter
1;Frank Pierson
1;Lawrence Hauben, Bo Goldman
1;Peter Berkos
1;Albert Whitlock, Glen Robinson
1;Network
1;All the President's Men
1;Network
1;Network
1;"Art Direction: George Jenkins; Set Decoration: George Gaines"
1;Haskell Wexler
1;Danilo Donati
1;John G. Avildsen
1;Barbara Kopple, Producer
1;Lynne Littman, Producer
1;Richard Halsey, Scott Conrad
1;Ivory Coast
1;Jerry Goldsmith
1;Adaptation Score by Leonard Rosenman
1;"Music by Barbra Streisand; Lyrics by Paul Williams"
1;Irwin Winkler and Robert Chartoff, Producers
1;Suzanne Baker, Producer
1;Andre Guttfreund and Peter Werner, Producers
1;Arthur Piantadosi, Les Fresholtz, Dick Alexander, Jim Webb
1;William Goldman
1;Paddy Chayefsky
1;Carlo Rambaldi, Glen Robinson, Frank Van der Veer
1;L. B. Abbott, Glen Robinson, Matthew Yuricich
1;The Goodbye Girl
1;Julia
1;Annie Hall
1;Julia
1;"Art Direction: John Barry, Norman Reynolds, Leslie Dilley; Set Decoration: Roger Christian"
1;Vilmos Zsigmond
1;John Mollo
1;Woody Allen
1;John Korty, Dan McCann and Warren L. Lockhart, Producers
1;John Joseph and Jan Stussy, Producers
1;Paul Hirsch, Marcia Lucas, Richard Chew
1;France
1;John Williams
1;Adaptation Score by Jonathan Tunick
1;Music and Lyrics by Joseph Brooks
1;Charles H. Joffe, Producer
1;Co Hoedeman, Producer
1;Beverly Shaffer and Yuki Yoshida, Producers
1;Don MacDougall, Ray West, Bob Minkler, Derek Ball
1;John Stears, John Dykstra, Richard Edlund, Grant McCune, Robert Blalack
1;Alvin Sargent
1;Woody Allen, Marshall Brickman
1;Star Wars
1;Frank E. Warner
1;Coming Home
1;The Deer Hunter
1;Coming Home
1;California Suite
1;"Art Direction: Paul Sylbert, Edwin O'Donovan; Set Decoration: George Gaines"
1;Nestor Almendros
1;Anthony Powell
1;Michael Cimino
1;Arnold Shapiro, Producer
1;Jacqueline Phillips Shedd and Ben Shedd, Producers
1;Peter Zinner
1;France
1;Joe Renzetti
1;Giorgio Moroder
1;Music and Lyrics by Paul Jabara
1;Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers
1;Eunice Macaulay and John Weldon, Producers
1;Taylor Hackford, Producer
1;Richard Portman, William McCaughey, Aaron Rochin, Darin Knight
1;Oliver Stone
1;"Story by Nancy Dowd; Screenplay by Waldo Salt, Robert C. Jones"
1;Les Bowie, Colin Chilvers, Denys Coop, Roy Field, Derek Meddings, Zoran Perisic
1;Kramer vs. Kramer
1;Being There
1;Norma Rae
1;Kramer vs. Kramer
1;"Art Direction: Philip Rosenberg, Tony Walton; Set Decoration: Edward Stewart, Gary Brink"
1;Vittorio Storaro
1;Albert Wolsky
1;Robert Benton
1;Ira Wohl, Producer
1;Saul J. Turell, Producer
1;Alan Heim
1;Federal Republic of Germany
1;Georges Delerue
1;Adaptation Score by Ralph Burns
1;"Music by David Shire; Lyric by Norman Gimbel"
1;Stanley R. Jaffe, Producer
1;Derek Lamb, Producer
1;Sarah Pillsbury and Ron Ellis, Producers
1;Walter Murch, Mark Berger, Richard Beggs, Nat Boxer
1;H.R. Giger, Carlo Rambaldi, Brian Johnson, Nick Allder, Denys Ayling
1;Robert Benton
1;Steve Tesich
1;Alan Splet
1;Raging Bull
1;Ordinary People
1;Coal Miner's Daughter
1;Melvin and Howard
1;Art Direction: Pierre Guffroy, Jack Stephens
1;Geoffrey Unsworth, Ghislain Cloquet
1;Anthony Powell
1;Robert Redford
1;Murray Lerner, Producer
1;Roland Hallé and Peter W. Ladue, Producers
1;Thelma Schoonmaker
1;Union of Soviet Socialist Republics
1;Michael Gore
1;"Music by Michael Gore; Lyric by Dean Pitchford"
1;Ronald L. Schwary, Producer
1;Ferenc Rofusz, Producer
1;Lloyd Phillips, Producer
1;Bill Varney, Steve Maslow, Gregg Landaker, Peter Sutton
1;Alvin Sargent
1;Bo Goldman
1;Brian Johnson, Richard Edlund, Dennis Muren, Bruce Nicholson
1;On Golden Pond
1;Arthur
1;On Golden Pond
1;Reds
1;"Art Direction: Norman Reynolds, Leslie Dilley; Set Decoration: Michael Ford"
1;Vittorio Storaro
1;Milena Canonero
1;Warren Beatty
1;Arnold Schwartzman and Rabbi Marvin Hier, Producers
1;Nigel Noble, Producer
1;Michael Kahn
1;Hungary
1;Rick Baker
1;Vangelis
1;Music and Lyric by Burt Bacharach, Carole Bayer Sager, Christopher Cross and Peter Allen
1;David Puttnam, Producer
1;Frédéric Back, Producer
1;Paul Kemp and Shelley Levinson, Producers
1;Bill Varney, Steve Maslow, Gregg Landaker, Roy Charman
1;Richard Edlund, Kit West, Bruce Nicholson, Joe Johnston
1;Ernest Thompson
1;Colin Welland
1;Ben Burtt, Richard L. Anderson
1;Gandhi
1;An Officer and a Gentleman
1;Sophie's Choice
1;Tootsie
1;"Art Direction: Stuart Craig, Bob Laing; Set Decoration: Michael Seirton"
1;Billy Williams, Ronnie Taylor
1;John Mollo, Bhanu Athaiya
1;Richard Attenborough
1;John Zaritsky, Producer
1;Edward Le Lorrain and Terri Nash, Producers
1;John Bloom
1;Spain
1;Sarah Monzani, Michèle Burke
1;John Williams
1;"Song Score by Henry Mancini and Leslie Bricusse; Adaptation Score by Henry Mancini"
1;"Music by Jack Nitzsche and Buffy Sainte-Marie; Lyric by Will Jennings"
1;Richard Attenborough, Producer
1;Zbigniew Rybczynski, Producer
1;Christine Oestreicher, Producer
1;Robert Knudson, Robert Glass, Don Digirolamo, Gene Cantamessa
1;Charles L. Campbell, Ben Burtt
1;Carlo Rambaldi, Dennis Muren, Kenneth F. Smith
1;Costa-Gavras, Donald Stewart
1;John Briley
1;Tender Mercies
1;Terms of Endearment
1;Terms of Endearment
1;The Year of Living Dangerously
1;Anna Asp
1;Sven Nykvist
1;Marik Vos
1;James L. Brooks
1;Emile Ardolino, Producer
1;Cynthia Scott and Adam Symansky, Producers
1;Glenn Farr, Lisa Fruchtman, Stephen A. Rotter, Douglas Stewart, Tom Rolf
1;Sweden
1;Bill Conti
1;Song Score by Michel Legrand, Alan Bergman and Marilyn Bergman
1;"Music by Giorgio Moroder; Lyric by Keith Forsey and Irene Cara"
1;James L. Brooks, Producer
1;Jimmy Picker, Producer
1;Janice L. Platt, Producer
1;Mark Berger, Tom Scott, Randy Thom, David MacMillan
1;Jay Boekelheide
1;James L. Brooks
1;Horton Foote
1;Richard Edlund, Dennis Muren, Ken Ralston, Phil Tippett
1;Amadeus
1;The Killing Fields
1;Places in the Heart
1;A Passage to India
1;"Art Direction: Patrizia Von Brandenstein; Set Decoration: Karel Cerny"
1;Chris Menges
1;Theodor Pistek
1;Milos Forman
1;Robert Epstein and Richard Schmiechen, Producers
1;Marjorie Hunt and Paul Wagner, Producers
1;Jim Clark
1;Switzerland
1;Paul LeBlanc, Dick Smith
1;Maurice Jarre
1;Prince
1;Music and Lyric by Stevie Wonder
1;Saul Zaentz, Producer
1;Jon Minnis, Producer
1;Mike Hoover, Producer
1;Mark Berger, Tom Scott, Todd Boekelheide, Chris Newman
1;Dennis Muren, Michael McAlister, Lorne Peterson, George Gibbs
1;Peter Shaffer
1;Robert Benton
1;Kay Rose
1;Kiss of the Spider Woman
1;Cocoon
1;The Trip to Bountiful
1;Prizzi's Honor
1;"Art Direction: Stephen Grimes; Set Decoration: Josie MacAvin"
1;David Watkin
1;Emi Wada
1;Sydney Pollack
1;Maria Florio and Victoria Mudd, Producers
1;David Goodman, Producer
1;Thom Noble
1;Argentina
1;Michael Westmore, Zoltan Elek
1;John Barry
1;Music and Lyric by Lionel Richie
1;Sydney Pollack, Producer
1;Cilia Van Dijk, Producer
1;Jeff Brown and Chris Pelzer, Producers
1;Chris Jenkins, Gary Alexander, Larry Stensvold, Peter Handford
1;Charles L. Campbell, Robert Rutledge
1;Ken Ralston, Ralph McQuarrie, Scott Farrar, David Berry
1;Kurt Luedtke
1;"Screenplay by Earl W. Wallace, William Kelley; Story by William Kelley, Pamela Wallace, Earl W. Wallace"
1;The Color of Money
1;Hannah and Her Sisters
1;Children of a Lesser God
1;Hannah and Her Sisters
1;"Art Direction: Gianni Quaranta, Brian Ackland-Snow; Set Decoration: Brian Savegar, Elio Altamura"
1;Chris Menges
1;Jenny Beavan, John Bright
1;Oliver Stone
1;Brigitte Berman, Producer
1;Joseph Feury and Milton Justice, Producers
1;Vivienne Verdon-Roe, Producer
1;Claire Simpson
1;The Netherlands
1;Chris Walas, Stephan Dupuis
1;Herbie Hancock
1;"Music by Giorgio Moroder; Lyric by Tom Whitlock"
1;Arnold Kopelson, Producer
1;Linda Van Tulden and Willem Thijssen, Producers
1;Chuck Workman, Producer
1;John K. Wilkinson, Richard Rogers, Charles 'Bud' Grenzbach,  Simon Kaye
1;Don Sharpe
1;Robert Skotak, Stan Winston, John Richardson, Suzanne Benson
1;Ruth Prawer Jhabvala
1;Woody Allen
1;Wall Street
1;The Untouchables
1;Moonstruck
1;Moonstruck
1;"Art Direction: Ferdinando Scarfiotti; Set Decoration: Bruno Cesari, Osvaldo Desideri"
1;Vittorio Storaro
